"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
020444183,NH RIGHT TO LIFE COMMITTEE EDUCATIONAL TRUST FUND
020446187,LA LECHE LEAGUE INTERNATIONAL INC LLL UPPER VALLEY
020448887,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WHITE MOUNTAINS DAR
020450043,EASTERN DIOCESE UNITED WOMENS SOCIETIES FOR THE ADORATION OF THE MOST BLESSED SACRAMENT
020450428,LA LECHE LEAGUE INTERNATIONAL INC LLL BRATTLEBORO
020450589,FRIENDS OF NASHUA HIGH ATHLETICS
020452900,LIGHTHOUSE PREGNANCY CRISIS CENTER
020458315,NEW HAMPSHIRE BREAST CANCER COALITION
020460584,CIRCLE PROGRAM
020466392,MARGUERITES PLACE INC
020479397,LA LECHE LEAGUE INTERNATIONAL INC LLL CONCORD
020479483,CATHOLIC DAUGHTERS OF THE AMERICAS 2404 ST MATTHEW
020482707,N H WOMEN AND CHILDREN IN CRISIS PROGRAM DOMESTIC VIOLENCE REPORT
020486065,WOMENS CAUCUS FOR ART NH
020486876,WOMENS BUSINESS CENTER INC
020489625,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1995 CLASS OF
020492339,WOMENS RURAL ENTREPRENEURIAL NETWORK
020493296,NH SEACOAST VOLLEYBALL CLUB INC
020493656,FRANKLIN GIRLS SOFTBALL ASSOCIATION
020493872,PATHWAYS PREGNANCY CARE CENTER
020495092,NEW HAMPSHIRE WOMENS FOUNDATION
020496085,NARAL PRO CHOICE NEW HAMPSHIRE FOUNDATION
020497885,ROCHESTER GIRLS SOFTBALL LEAGUE INC
020501402,BPW NH FOUNDATION INC
020503776,PORTSMOUTH GIRLS SOFTBALL ASSOCIATION
020503907,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 15 DERRY ASSEMBLY
020507147,OZANAM PLACE INC
020507428,ARTS IN REACH ENCOURAGING GROWTH THROUGH THE ARTS
020511060,HAMPSTEAD MOTHERS CLUB INC
020513895,NEW HAMPSHIRE WOMENS INITIATIVE NH WOMENS INITIATIVE
020514772,NATIONAL NETWORK OF ABORTION FUNDS NEW HAMPSHIRE FUND FOR CHOICE
020520653,MP HOUSING INC
020521087,VOTE NOW NEW HAMPSHIRE HISPANICS
020522863,GIRLS AT WORK INC
020523358,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC GR NASHUA POT AND M
020524090,GIRLS ON THE RUN NEW HAMPSHIRE
020528097,MERRIMACK VALLEY HIGH SCHOOL GIRLS SOCCER BOOSTER CLUB
020529910,CHESHIRE COUNTY DOMESTIC VIOLENCE COUNCIL
020530328,LA LECHE LEAGUE INTERNATIONAL INC LLL CONWAY AREA ID 12759
020532685,INNER VISIONS PACIFIC NORTHWEST BREAST CANCER ART ASSOCIATION
020538638,NEW BIRTH MINISTRIES
020539734,WOMEN FOR AFGHAN WOMEN INC
020548083,WOMEN OF DESTINY MINISTRIES
020550275,LA LECHE LEAGUE INTERNATIONAL INC LLL PAULDING COUNTY
020551869,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 20 297 000 90002008 VENETIAN ISLES
020554608,LA LECHE LEAGUE INTERNATIONAL INC LLL MCALESTER ID 13177
020561589,N THE SPIRIT INC
020562654,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 114346 SI OF ALBUQUERQUE NM
020563028,INTERNATIONAL LEAGUE OF MUSLIM WOMEN INC SYRACUSE CHAPTER
020564273,GLOBAL OUTREACH AND ASSISTANCE LEAGUE
020566170,ST MARYS MATERNITY CENTER INC
020566803,CLIPPED WINGS UNITED AIR LINES STEWARDESS ALUMNAE NEW JERSEY CHAPTER EWR
020566856,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TOMO KAHNI CHAPTER
020567446,SAFE MOVES
020568412,UNITED GIRLS SOFTBALL LEAGUE
020572628,NATIONAL COUNCIL OF NEGRO WOMEN INC NEW YORK STATE CONVENERS
020573605,SARTELL SAPPHIRE GYMNASTICS INC
020575240,LAKE COUNTY RIGHT TO LIFE EDUCATION FUND
020576568,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC LYNCHBURG AREA MOTHERS OF MULTIPLES
020576570,NATIONAL CHARITY LEAGUE KINGS TRAILS CHAPTER
020576873,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 87 TEMPLE ASSEMBLY
020578926,NEW JERSEY STATE FEDERATION OF WOMENS CLUBS CONTEMPORARY WOMANS CLUB OF WASHING
020579310,LITTLE LEAGUE BASEBALL INC 2383003 WARRINGTON SOFTBALL LL
020579885,SOLIDARITY AND ACTION AGAINST THE HIV INFECTION IN INDIA INC
020581008,OGDOOS COUNCIL OF SIGMA ALPHA SORORITY
020588944,VICTIM RIGHTS LAW CENTER INC
020589207,WOMEN OF GOD MINISTRIES IN CHRIST INC
020592364,FRIENDS OF ARTS AND HUMANITIES INC DESIGNING WOMEN BOUTIQUE
020592524,NATIONAL WOMEN OF COLOR CANCER FOUNDATION
020593057,FALMOUTH GIRLS HOCKEY CLUB INC
020594084,GIRLS GOLF OF PHILADELPHIA INC
020596566,GREATER AUGUSTA AREA CHRISTIAN WOMENS JOB CORPS INC
020601558,NORTHWEST CHRISTIAN SCHOOL LADIES CIRCLE
020602596,EWOMENNETWORK FOUNDATION INC
020605551,SOUTHEASTERN ASSOCIATION OF COLORED WOMENS CLUBS INC
020607850,CONGREGATION TALMUD TORAH D CHASIDEI BOBOV OF MONSEY BLIMA RUCHEL GIRLS BOBOV MONSEY
020610352,GREATER MT TABOR NON PROFIT
020612582,CHS GIRLS HOCKEY BOOSTERS INC
020615760,CHRIST CHURCH MOTHERS MORNING OUT
020623368,GREATER KANSAS CITY AREA COMMITTEE OF THE NATIONAL MUSEUM OF WOMEN IN
020623424,ST LOUIS GIRLS YOUTH HOCKEY ASSOCIATION
020624933,WOMAN AT THE WELL INC
020629652,AFRICAN WOMEN COUNCIL INC
020631160,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 90 000 000 90001394 NORTHEAST RESOU
020635242,DIVINE SERVICES COMPANY INC
020636767,NEW BIRTH COVENANT CHURCH OF GOD
020637368,GOLDEN STATE HUMAN DEVELOPMENT COALITION
020638993,ATW ALLIANCE TECHNOLOGY AND WOMEN
020641610,CALLIOPE FEMINIST CHOIR
020643004,ROYAL PALMS OF ST LUCIE INC
020643059,LA LECHE LEAGUE INTERNATIONAL INC LLL DACULA
020644263,SOCIETY OF WOMEN ENGINEERS PHOENIX STUDENT CHAPTER
020645164,HOPE PREGNANCY CENTER OF CENTRAL IDAHO INC
020646275,STUNTWOMENS FOUNDATION
020646522,UNITED DAUGHTERS OF THE CONFEDERACY TN DIV GREAT GRANDDAUGHTERS CLUB
020651055,AMERICAN CANCER SOCIETY INC ACS PRODUCTS INC
020653385,DIVINE PROVIDENCE MINISTRIES INC
020653490,SISTERS OF CHARITY OF ST VINCENT DE PAUL SOCIAL MINISTRIES INCORPORATE
020654205,MARSHALL GIRLS BASKETBALL ASSOCIATION
020654930,ALL ABOUT WOMEN INC
020655566,GRACEWAY RECOVERY RESIDENCE INC
020656244,SECOND BIRTH NEW LIFE MINISTRY
020657974,VIRTUOUS WOMEN OF GOD INTERNATIONAL INC
020661352,NEW BIRTH CHRISTIAN FELLOWSHIP
020661800,MAD HATTERS CHARITY FOUNDATION INC
020665232,NATIONAL BAPTIST WOMEN MINISTERS CONVENTION INC
020666607,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 18 344 000 90002035 PROF WOMENS CLC
020666874,FRACKVILLE GIRLS SOFTBALL LEAGUE LAWRENCE DOMALAKES
020671628,CALIFORNIA ALLIANCE FOR WOMEN
020672805,NEW LONDON GIRLS YOUTH BASKETBALL ASSOCIATION
020680511,EMPOWERING WOMEN IN NEED OF GUIDANCE CORPORATION
020681219,GLADEWATER AREA LADIES ASSOCIATION GALA
020681373,GLOBAL ULTRASOUND EQUIPMENT DONATION FOUNDATION
020691301,FREEDOM HOUSE FOR WOMEN INC
020693064,NATIONAL CHARITY LEAGUE COLORADO FOOTHILLS CHAPTER
020694269,CONNECT INC A NEW YORK CORPORATION
020695289,CLIPPED WINGS UNITED AIRLINES STEWARDESS ALUMNAE INC LAS VEGAS CHAPTER
020696188,HERED ORDER OF FAM OF THE PRESIDENT AND FIRST LADIES OF AMERICA
020698751,SISTERS OF HOPE WILKINS LEOTHA GEN PTR
020701174,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 54 368 000 90002050 ATHENS
020702147,HOUSE OF REDEMPTION
020703030,WAGE PROJECT INC
020704619,SOUTHWEST BREAST CANCER AWARENESS GROUP INC
020706553,DELTA SUCCESS TRUST FOUNDATION INC
020706898,ABERG CENTER FOR LITERACY
020708726,MAGNOLIA GIRLS SOFTBALL A NEW JERSEY NON PROFIT ORGANIZATION
020710324,DAUGHTERS OF DESTINY MINISTRIES INC
020711397,ANTELOPE VALLEY GIRLS SOFTBALL ASSOCIATION AVGSA
020712810,VOLUNTEER NOW MACOMB AREA VOLUNTEER CENTER VOLUNTEER NOW
020717636,TOMORROWS WOMAN INC
020719786,MY SISTERS HOUSE INC
020725297,UNITED DAUGHTERS OF THE CONFEDERACY 0947 LUCINDA HORNE CHAPTER
020726987,WOMENS FUND OF EL PASO INC
020727601,LA LECHE LEAGUE INTERNATIONAL INC LLL HATTIESBURG DAY
020728451,WISCONSIN GIRL FRIENDS OUTREACH FUND INC
020730624,ROSEVILLE AREA HIGH SCHOOL GIRLS HOCKEY BOOSTER CLUB
020732247,4US
020732691,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 57 345 000 90002036 TAMMANY TRACE H
020732846,NORTHVILLE MOTHERS CLUB LIFE MEMBER GROUP
020732925,PARENT BOOSTER USA INC COUGAR GIRLS VOLLEYBALL BOOSTER CLU
020736475,FAMILY JUSTICE CENTER OF ST JOSEPH COUNTY INC
020738607,SOUTHERN CALIFORNIA AREA NATIONAL C OUNTIL OF NEGRO WOMEN INC
020738650,NEW MEXICO STING
020738841,COUGAR CUB GIRLS SOFTBALL INC
020741761,THE INTERNATIONAL LEAGUE OF MUSLIM WOMEN INC BALTIMORE
020743148,FAUQUIER GIRLS SOFTBALL ASSOC
020743314,MOTHER ROSE FAYTON ROBINSON FOUNDATION INC
020743377,INTERNATIONAL WOMEN PRAYER CONFERENCE IWPC
020743542,WOMEN OF COLOR FOUNDATION
020744437,ASIAN WOMEN LEADERSHIP NETWORK INC
020744689,FAMILIES FIRST INC
020744869,FLORENCE WOMANS CLUB
020748310,DARFUR PEACE AND DEVELOMENT INC
020748440,NEW JERSEY STATE FEDERATION OF WOMENS CLUBS WOMENS CLUB OF NORWOOD NORTHVALE
020748801,ORGANIZACION COMMUNITARIA LATINA
020749366,WOMEN OF ACCESS INC
020753430,GIRLS ON THE RUN FORSYTH
020755116,BELLE ISLE WOMENS COMMITTEE
020756098,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SAINT CROIX RIVER VALLEY DAR
020757051,UNITED STATES BOWLING CONGRESS INC 84184 CHARLES CITY USBC WBA
020759742,CHASTITY STEMMONS MINISTRIES ETERNITY BOUND WOMENS MINISTRIES
020760872,ASSOCIATION FOR WOMEN IN SCIENCE INC ALABAMA AUBURN
020761962,BLUE STAR MOTHERS OF AMERICA INC 3NM BSMO DEL NORTE RIO ARRIBA
020766201,SPORTY GIRLS INC
020767623,GFWC NEW YORK STATE FEDERATION OF WOMENS CLUBS SOUTHERN SARATOGA COUNTY
020769033,CHILDRENS MEDIA ASSOCIATION INC
020769984,NEW BIRTH MINISTRIES
020770469,SUIT YOURSELF INC
020777341,WOMEN OF CHARACTER
020778105,UNITED STATES BOWLING CONGRESS INC 82413 WYOMING STATE USBC WBA
020779049,BLUE STAR MOTHERS OF AMERICA INC CA12 SIERRA NEVADA CALIF
020779855,WOMEN FOUNDATION FOR AGRICULTURE ENVIRNOMENT HEALTH AND HOUSING INC
020780463,NEXT GENERATION NEPAL
020782387,FRANCISCAN SISTERS OF ST JOSEPH
020783242,J JIREH SERVICES INC
020783393,TRUE LIGHT FAMILY RESOURCE CENTER
020784417,OUR DAUGHTERS AND SONS KEEPERS OUR CHILDRENS KEEPERS
020786777,NURTURING HEARTS INC NURTURING HEARTS
020790954,LEARNING WITH CRAFTS
020791438,DIVINE BLESSINGS WOMEN MINISTRIES
020793260,THE WHITE GARDENIA FEMININE LEADERSHIP PROJECT INC
020794054,ANTONINE MARONITE SISTERS OF YOUNGSTOWN INC
020797269,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LEFLEURS BLUFF DAR
020797711,UNITED DAUGHTERS OF THE CONFEDERACY 2660 CAPT SAM A WILLSON
020798000,THETA CHI EPSILON SORORITY OF N A
020798798,MY DAUGHTERS KEEPER OF TAMPA BAY INC
020801722,PHENOMENAL ASTOUNDING WOMEN INC
020802893,INDIANA PARENTING INSTITUTE INC FTH PARENTING
020804908,OPAL HOUSE
020805467,CAPITAL CENTERS OF VIRGINIA
020810126,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC GRAND RAPIDS MOTHERS OF TWINS CLUB
020810941,LA LECHE LEAGUE OF THE UNITED STATES LLL RIDGEWOOD
020814159,NORTH BRUNSWICK DOMESTIC VIOLENCE RESPONSE TEAM
020815439,WATERFORD BRANCH MI DIVISION WOMANS NATIONAL FARM AND GARDEN ASSOC
020815490,CHURCH WOMEN UNITED SALISBURY
021623636,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 DISTRICT OF COLUMBIA SOCIETY
023727481,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 14 103 000 90000141 BOULDER
026005537,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CAPT JOSIAH CROSBY DAR
026006437,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION 1 002 NH BUNTIN RUMFORD WEBSTER CHA
026006710,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MERCY HATHAWAY WHITE DAR
026007434,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MATTHEW THORTON DAR
026007640,NH WOMANS CHRISTIAN TEMPERANCE UNION BOYLSTON HOME
026008135,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION D A R MARY BUTLER CHAPTER
026008741,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NH STATE ORGANIZATION DAR
026008902,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ELSE CILLEY DAR
026009251,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARGERY SULLIVAN DAR
026009834,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MOLLY REID DAR
026010085,GENERAL FEDERATION OF WOMENS CLUBS NEW HAMPSHIRE
026010201,JUNIOR SERVICE LEAGUE OF CONCORD N H
026010576,AMERICAN LEGION AUXILIARY 21 CONCORD
026011156,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NEW BOSTON DAR
026011604,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RANGER DAR
026012143,GENERAL FEDERATION OF WOMENS CLUB EXETER AREA GFWC
026012263,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION EXTER DAR
026012336,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WINNIPESAUKEE DAR
026012344,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARY VARNUM PLATTS PETERBOROUGH DAR
026012554,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ANNA KEYES POWER DAR
026012767,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION REPRISAL DAR
026013434,CATHOLIC DAUGHTERS OF THE AMERICAS 1208 BELLEFLEUR COURT
026013577,CATHOLIC DAUGHTERS OF AMERICA
026016225,HOPKINTON WOMANS CLUB
026019938,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 600 000 90000740 SEACOAST
026038045,AMHERST JUNIOR WOMENS CLUB
030058942,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BETTY ALLEN DAR
030179434,LUND FAMILY CENTER INC
030181061,RUTLAND MISSIONARY ASSOCIATION SUNSET HOME
030213501,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION VERMONT STATE DAR
030214632,THE YWCA OF VERMONT INC
030217780,GREEN MOUNTAIN CAMP INC
030222941,PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND
030258751,CATHOLIC DAUGHTERS OF THE AMERICAS 894 ST RITA
030262944,ONION RIVER CROSSROADS INC
030263733,CATHOLIC DAUGHTERS OF THE AMERICAS 1231 ST ANTHONY
030271689,INFECTIOUS DISEASE SOCIETY FOR OBSTETRICS AND GYNECOLOGY
030273794,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LAKE DUNMORE DAR
030280469,NEWSTORY CENTER INC
030282496,CLARINA HOWARD NICHOLS CENTER INC CLARINA HOWARD NICHOLS CENTER
030283657,STEPS TO END DOMESTIC VIOLENCE INC
030284577,HOPE WORKS INC
030285583,PROJECT AGAINST VIOLENT ENCOUNTERS
030287938,WELLESLEY COLLEGE ALUMNAE ASSOCIATION VERMONT WELLESLEY CLUB
030288201,NEW BEGINNINGS INC
030297936,ASPIRE TOGETHER INC ASPIRE TOGETHER
030301366,THE WOMENS CENTER INC DBA CARING HEARTS PREGNANCY CENTER
030302636,LA LECHE LEAGUE INTERNATIONAL INC LLL ADDISON COUNTY
030305984,JABBOK ENCOUNTER MINISTRIES INC
030306153,LA LECHE LEAGUE INTERNATIONAL INC LLL CHITTENDEN CO
030310213,ARLINGTON AREA CHILDCARE INC
030315710,VERMONT NETWORK AGAINST DOMESTIC AND SEXUAL VIOLENCE
030317619,THE JUNIOR LEAGUE OF THE CHAMPLAIN VALLEY INC
030317672,FIRST STEP PREGNANCY CENTER CARENET PREGNANCY CENTER
030322230,SOCIETY OF WOMEN ENGINEERS NORTH COUNTRY SECTION
030324723,OUR HOUSE OF CENTRAL VT INC
030331147,CIRCLE INC
030332395,SAFELINE INC
030336894,NORTHEAST KINGDOM CHARITABLE FUND
030337694,ROGERS AND HAZARD RELIEF SOCIETY
030338337,VERMONT CANCER NETWORK INC
030340584,VERMONT CENTER FOR THE BOOK
030341898,CHURCH WOMEN UNITED RUTLAND COUNTY
030342077,CENTRAL VERMONT PREGNANCY SERVICES INC
030344552,NORTHWEST UNIT FOR SPECIAL INVESTIGATIONS INC
030346498,OUR LADY OF GUADALUPE HOME FOUNDATION INC
030347031,CATHOLIC DAUGHTERS OF THE AMERICAS 2406 ST MARGARET MARY
030347466,SAFER SOCIETY FOUNDATION INC SAFER SOCIETY PRESS
030350603,LA LECHE LEAGUE INTERNATIONAL INC LLL BURLINGTON
030354309,WOMEN OF COLOR ALLIANCE INC
030354382,CASTING FOR RECOVERY INC
030355685,LEAGUE OF WOMEN VOTERS OF VERMONT EDUCATION FUND INC
030357242,CAROLINE BAIRD CRICHFIELD MEMORIAL FUND FOR WOMEN IN NEED
030358613,HAVE JUSTICE WILL TRAVEL INC
030359010,GIRL ZONE COMMUNITY INC
030359521,NORTH AMERICAN HOCKEY ACADEMY INC
030359783,MARTELLS FAMILY HOME FOR BATTERED WOMEN AND FAMILIES
030359937,VERMONT LIGHTNING GIRLS BASKETBALL CLUB
030363222,NATIONAL HOLSTEIN WOMENS SCHOLARSHIP ORGANIZATION
030366016,PASSIONIST FOUNDATION OF THE STATE OF VERMONT INC
030367143,LA LECHE LEAGUE INTERNATIONAL INC LLL ESSEX JUNCTION
030367185,GROUNDS FOR HEALTH INC
030369491,STRIDE THE WRIGHT FOUNDATION FOR FEMALE ATHLETES INC
030371141,WOMENS LINK WORLDWIDE INC
030372140,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 22 CRYSTAL ASSEMBLY
030372248,GIRLS ON THE RUN OF VERMONT INC
030373026,MARCH MOTHERS ALONE RAISING CHILDREN INC
030373039,HOME GROWN MOTHERING MINISTRY
030374310,REDLANDS EAST VALLEY GIRLS SOFTBALL BOOSTER CLUB
030375511,BRATTLEBORO WOMENS CHORUS INC
030378289,PARKS FOUNDATION
030379071,CAPPA FOUNDATION
030382080,ALASKA VETERANS MUSEUM
030382773,IBIS REPRODUCTIVE HEALTH INC
030383225,THE GIRLS GROUP
030387038,MOTHER OCEAN FOUNDATION INC
030388865,NEW BIRTH CHRISTIAN CHURCH
030390591,AGAPE PREGNANCY SUPPORT SERVICES
030391131,MERCY MINISTRIES INC
030392941,NEW BIRTH CHRISTIAN ASSEMBLY INC
030395814,PRINCETON WOMENS CULTURAL CENTER INC
030397547,HAWAII COALITION AGAINST SEXUAL ASSAULT
030397760,PA EXPRESS GIRLS LACROSSE ASSOCIATION INC
030407764,LA LECHE LEAGUE INTERNATIONAL INC LLL GREATER BRIDGTON
030411001,UNATTI FOUNDATION
030411633,NATIONAL ASSOCIATION AGAINST RAPE AND ASSAULT
030419149,HOUSTON COALITION FOR LIFE
030419300,TEENS AND PARENTS SERVICE SOCIETY
030419743,URGENT ACTION FUND FOR WOMENS HUMAN RIGHTS
030421954,BEACHWOOD PINE BEACH GIRLS SOFTBALL LEAGUE INC
030422075,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 104409 DAVIE FL
030424551,WOMEN EMPOWERED TO PROSPER RESOURCE CENTER INC
030426530,LARIETTE SERVICE ORGANIZATION
030429146,PENNSYLVANIA IMMIGRANT AND REFUGEE WOMENS NETWORK
030440169,ALAMEDA GREEN MOUNTAIN GIRLS SOFTBALL ASSOCIATION
030441698,DAUGHTERS OF THE AMERICAN COLONISTS JOHN LAWSON SURVEYOR GEN CHAPTER
030442016,UNITED DAUGHTERS OF THE CONFEDERACY 2628 COL JOHN S MOSBY CHAPTER
030442081,CERVICAL CANCER COALITION OF TENNESSEE
030442514,THE JOE TORRE SAFE AT HOME FOUNDATION
030442552,LIGHTHOUSE PREGNANCY CENTER NFP
030448470,THE WOMENS CLINIC OF K C INC
030453079,KOL NESHAMA INC
030455203,THE GASTON AND PORTER HEALTH IMPROVEMENT CENTER INC
030455369,VIRTUOUS WOMAN ENTERPRISES INC
030456779,BHIKSHU BUDDHIST NUN IN VIETNAMESE COMMUNITY OF OREGON
030458239,WOMEN IN BIO INC
030458301,FIGHT AUTISM NOW
030462980,WOMEN IN FILM LAS VEGAS
030466294,INTERNATIONAL LEAGUE FOR MUSLIM WOMEN INC MEMPHIS TENNESSEE CHAPTER
030466352,THE GOG FOUNDATION INC GOG
030466916,YOUNG WOMEN OF PROMISE INC
030468135,CHEER SAVANNAH ALLSTARS BOOSTER CLUB
030468144,HAVEN OF REST
030468317,RHYTHMIC DREAMS INC
030473048,SLATER JETT MEYERS FOUNDATION INC
030473181,ADELANTE MUJERES
030475636,FINANCIAL WOMENS ASSOCIATION OF SAN FRANCISCO SCHOLARSHIP FUND INC
030477092,LIFE CHOICES PREGNANCY RESOURCE CENTER INC
030479826,LEAGUE OF WOMEN VOTERS OF THE CANTON AREA EDUCATION FUND
030481206,DAMAYAN MIGRANT WORKERS ASSOCIATION
030482230,RHODE ISLAND FOUNDATION FOR VICTIMS OF SEXUAL ABUSE
030485721,BREAST CANCER FOUNDATION OF ETOWAH COUNTY ALABAMA INC
030486104,VETS 1ST INC
030487381,CATHERINES CLOSET INC
030488990,JEANETTE WILLIAMS FOUNDATION
030490897,H U G S FOXBORO INC
030499707,JOSHUA TREE ADOPTIONS INC
030504394,MID ATLANTIC WOMENS STUDIES ORGANIZATION
030505123,S H A W C HOUSING DEVELOPMENT FUND CORPORATION
030510381,BREAST CANCER EDUCATION ASSOCIATION
030512721,LA LECHE LEAGUE INTERNATIONAL INC LLL TEAYS VALLEY ID 14051
030518277,WOMEN OF THE VINE
030518665,FRIENDS OF THE MEDFORD FAMILY NETWORK CORP
030520643,WOMENS EMPOWERMENT
030529005,EMPOWER EMERGING MARKETS FOUNDATION
030536200,NEW PARTNERSHIPS FOR WOMEN INC
030538719,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 17 344 000 90002075 PROF WMNS COUNC
030540202,HALL OF FAME OF WOMENS OKLAHOMA GOLF ASSOCIATION
030541041,WOMENS OPPORTUNITY LINK OF DELAWARE INC
030541956,LA LECHE LEAGUE OF SAGINAW LLL SAGINSAW ID 504
030544897,THE TAIMEN FUND
030545260,NATIONAL ASSOCIATION OF MINORITY CONTRACTORS GREATER ATLANTA BRANCH
030547139,THE YWCA OF THE PACIFIC REGION
030547972,SAHELI INC
030548033,ODOGBOLU SONS AND DAUGHTERS ASSOCIATION U S A
030549678,BREAST CANCER PREVENTION FUND
030550109,COCOA BREVARD TOP LADIES OF DISTINCTION
030552717,CONFERENCE OF CELTIC WOMEN INC
030563296,LA LECHE LEAGUE INTERNATIONAL LLL FENTON
030563627,UGIANMWEN SONS AND DAUGHTERS ASSOCIATION USA CHAPTER
030564411,FRIENDS OF NAIVASHA HOSPITAL SHG
030567253,SCOTTS VALLEY GIRLS SOFTBALL
030570793,TRAINING BEYOND BORDERS NFP
030573177,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LAKE MINNETONKA DAR
030573729,CATHOLIC DAUGHTERS OF THE AMERICAS 2560 OUR LADY OF THE ROSARY
030573758,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GEORGE MASON DAR
030579091,NEW BEGINNINGS PREGNANCY CARE CENTER
030583002,NYC HEAT INC
030583491,YUMA STUDY CENTER INC
030590611,UNITED STATES BOWLING CONGRESS INC 82669 HAMPTON USBC WBA
030591005,UNITED STATES BOWLING CONGRESS INC 84759 ANNISTON USBC WBA
030591654,POMONA GIRLS VOLLEYBALL BOOSTERS
030592741,HOUSE OF LOVE FOR DOMESTIC VIOLENCE
030593879,CRUSH KIDS ASSOCIATION
030594742,NATIONAL CHARITY LEAGUE INC ARROWHEAD CHAPTER
030594817,WOMENS SERVICE COMMITTEE
030594918,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 20 528 000 90002148 TIVOLI LAKES TZ
030595714,THE ROSHNI CENTRE FOR WOMEN
030597065,YOUNG WOMENS CHRISTIAN LEAGUE ANGELIC PEARLS CHAPTER
030597867,THE MESORAH WOMENS LEARNING INSTITUTE INC
030598420,ISSAQUAH WOMENS FOUNDATION
030600536,BLUE STAR MOTHERS OF AMERICA INC 1FL SUNSHINE 91
030600624,BREAST CANCER EMERGENCY AID FOUNDATION
030601077,LT DENNIS W ZILINSKI II MEMORIAL FUND A NJ NON PROFIT CORPORATION
030604004,GODS PRECIOUS GIFTS INC
030604035,SANDY SPRINGS WOMANS CLUB INC
030604434,PARKWAY GIRLS SOFTBALL LEAGUE INC
030604764,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL MARYSVILLE
030605729,FEDERATION OF TEXAS A AND M UNIVERSITY MOTHERS CLUB COOKE COUNTY
030605818,HIGH PLAINS WOMENS MUSEUM
030607173,PROFESSIONAL WOMENS THEATER INC
030609959,GFWC WOMANS CLUB OF HOLDEN BEACH
030611632,XI COMMUNITY EMPOWERMENT ADVOCATES INC
