,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
69,Veterans Legal Services Inc,1946314,Veterans Legal Services Inc,"Part 1: veterans legal services helps massachusetts veterans overcome adversity by providing free civil legal aid that honors their service, promotes well-being, and responds to their distinctive needs.",180 Canal Street,WHSV,890259,43212264,985593.0,,VETERANS LEGAL SERVICES INC,No
70,Pregnancy Care Center of the Merrimack Valley Inc,415095,Pregnancy Care Center of the Merrimack Valley Inc,"Part 1: to provide free pregancy testing, educational information, mentoring and tangible support through a food, clothing, and furniture program.",494 Main St,"WHLTH,WHSV",809838,222630861,437924.0,,PREGNANCY CARE CENTER OF THE MERRIMACK VALLEY INC,No
71,Dream Big Inc Dream Big,629231,Dream Big Inc Dream Big,"Part 1: to provide girls and young women from low-income situations with the equipment, sports attire, fees, training and mentoring opportunities needed for them to participate in sports and physical activities that contribute to their health, education and well-being. - Part 3: dream big! Provides girls & young women from low-income situations with the equipment, sports attire, fees, training and mentoring opportunities needed for them to participate in sports and physical activities that contribute to their health, education and well-being.",21 Highland Circle,GIRL,770094,272204294,495436.0,,DREAM BIG INC DREAM BIG,No
72,Por Cristo Inc,1945872,Por Cristo Inc,"Part 1: since 1980, por cristo, a non-profit charitable medical service organization, has been involved in health care work for low-income, vulnerable populations in latin America (primarily serving ecuador). - Part 3: provide quality health care to malnourished, compromised and at-risk latin american low income, vulnerable population (primarily women and children in ecuador).",77 Warren St,WINTL,737436,42696339,545726.0,,POR CRISTO INC,No
73,Girls on the Run Greater Boston,1011084,Girls on the Run Greater Boston,"Part 1: we inspire girls to be joyful, healthy, and confident using a fun, experience-based curriculum which creatively integrates running. - Part 3: an after-school program that uses the power of running to educate and prepare 3rd-8th grade girls for a lifetime of self-respect and healthy living through lessons that encourage positive, emotional, social, mental and physical development.",89 South St Ste Ll02,GIRL,695721,463532424,414482.0,,GIRLS ON THE RUN GREATER BOSTON,No
74,All Girls Allowed Inc,637157,All Girls Allowed Inc,"Part 1: all girls allowed exists to restore life, value, and dignity by educating and empowering women and girls and engaging partners to realize global impact. - Part 3: all girls allowed, Inc. Is organized and shall be operated exclusively for charitable, educational, spiritual, literary or scientific purposes within the meaning of section 501(c)3 of the internal revenue code of 1986. In furtherance of such purposes, the corporation shall be authorized to promote, support and engage in activities carried on for charitable, educational, spiritual, litterary or scientific purposes, by the direct conduct of such activities, and by making grants to other organizations engaged in such activities. Those activities May include, but are not limited to, Christian education, human rights relief work, raising support and awareness of the plight of oppressed women, girls and orphans;providing spiritual support and education in the name of jesus; and carrying on any other charitable activity permitted to be carried on by a non-profit corporation exempt from income tax under section 501(c)3 of the internal revenue code.",101 Huntington Ave Suite 2205,GEN,659659,272966708,900043.0,,ALL GIRLS ALLOWED INC,No
75,Found in Translation Inc,948986,Found in Translation Inc,"Part 1: to help homeless and low-income multilingual women to achieve economic security through the use of their language skills and to reduce ethnic, racial, and linguistic disparities in health care by unleashing bilingual talent into the workforce.",1532b Dorchester Avenue,WEDUC,652049,453302596,1335015.0,,FOUND IN TRANSLATION INC,No
76,New Life Furniture Bank of MA Inc,1012175,New Life Furniture Bank of MA Inc,"Part 1: new life provides gently used donated household furnishings to individuals and families transitioning out of homelessness, victims of fire, those escaping domestic violence, military veterans, and refugees.",PO Box 573,GV,650463,463642814,873522.0,,NEW LIFE FURNITURE BANK OF MA INC,No
77,Chica,954891,Chica,"Part 1: the organization's vision is to create a future where every young woman of color has access to the education, experiences, and guidance required to realize her true potential through dedicated leadership development, which is fostered by a community of intergenerational mentors of color. - Part 3: the organizations mission is to close the opportunity divide for latinas and other women of color by empowering them with the skills, confidence, and network necessary to thrive personally and professionally.",1266 Furnace Brook Pkwy Ste 410,WPSB,649527,453866647,1162195.0,,CHICA,No
78,Resilient Sisterhood Project Inc,2117400,Resilient Sisterhood Project Inc,"Part 1: the resilient sisterhood project's mission is to educate and empower women of african descent regarding common but rarely discussed diseases of the reproductive system that disproportionately affect them. We approach these diseases and associated issues through a cultural and social justice lens, as we believe that poor knowledge of reproductive health is primarily related to health, racial, and socioeconomic disparities.",263 Huntington Ave Suite 302,RH,614500,831771945,372663.0,,RESILIENT SISTERHOOD PROJECT INC,No
79,Find the Cause Inc,1946461,Find the Cause Inc,Part 1: the mission of find the cause breast cancer foundation is to fund scientific research on the environmental causes of breast cancer and to educate the public on prevention.,74 Elmwood Rd,WHLTH,613552,43506574,919404.0,,FIND THE CAUSE INC,No
80,Youth Empowerhouse Corp,1945755,Youth Empowerhouse Corp,"Part 1: dedicated to promoting the health education and wellbeing of school aged children within the community - part 3: dedicated to promoting the health, education and well being of school aged children within the community",7 William St,GIRL,594194,42104286,420442.0,,YOUTH EMPOWERHOUSE CORP,No
81,Armenian Womens Welfare Association Inc,664481,Armenian Womens Welfare Association Inc,"Part 1: to provide financial and program support to the armenian nursing and rehabilitation center, Inc., A non-profit long-term care and short-term rehab facility and other qualified charitable organizations with a related purpose. - Part 3: the organization's mission is a) to provide financial and program support to the armenian nursing and rehabilitation center, Inc. (Anrc) that provides housing and nursing facilities for aged and needy persons; b) to provide financial and program support to other qualified, publicly supported, charitable organizations closely related in purpose or function to the anrc. C) to provide financial and program support either directly or to other qualified, publicly supported charitable organizations closely related in purpose or function to the anrc for the purpose of providing care, comfort, relief and assistance to indigent persons of all ages; d) to encourage and motivate the making of gifts and donations by deed, will, or otherwise for the advancement, promotion and maintenance of the purposes and objectives of the anrc and the other organizations designated by the articles of organization and to conduct public fund-raising activities on behalf of the anrc.",431 Pond St,WSNW,587961,300254355,8460.0,,ARMENIAN WOMENS WELFARE ASSOCIATION INC,No
82,Womens Money Matters Inc,1468672,Womens Money Matters Inc,"Part 1: budget buddies, Inc. Provides financial wellness programs for women on low incomes in the state of massachusetts. - Part 3: budget buddies, Inc. Empowers low-income women through financial literacy. The organization's comprehensive programming combines one-to-one coaching with a series of workshops that develop core money management skills and self-esteem.",6 Liberty Square 2697,WHSV,571938,900688545,,,WOMENS MONEY MATTERS INC,No
83,Womens Hockey East Association,1141196,Womens Hockey East Association,"Part 1: intercollegiate women's ice hockey - part 3: to promote, carry out, supervise and control intercollegiate women's ice hockey among member educational institutions. To support charitable and educational activities.",11 Chestnut St,GIRL,517758,562296622,,,WOMENS HOCKEY EAST ASSOCIATION,No
